sr,name_address,type,capacity_MTA,registration,issue_date,validity,status,district,email,phone
102,"BKE RECYCLING Adsul Mala, Shivram Nagar,Uruli Devachi, Uruli Devachi,Pune - 412308",Dismantler,300,MPCB/RO(HQ)/HSMD/autho/,2022-02-25,2025-02-28,LAPSED_IN_LIST,,,9764279786
103,Nagraj E-Waste Recycling S.No.41 Vill Asoli Mouza Mahalgaon Tah Kamptee Dist Nagpur - 441202,Dismantler,1800,MPCB/RO(HQ)/HSMD/autho/,2022-03-03,2027-02-28,VALID,Nagpur,nagrajewaste@gmail.com,9595105301
104,"Green Valley E Waste Management Pvt Ltd Gut No. 525/10, Village- Ghonsai, Saza-Met, Tal. Wada, Ghonsai, Palghar - 421312",Dismantler,596,MPCB/RO(HQ)/HSMD/autho/,2022-03-03,2025-01-31,LAPSED_IN_LIST,,,9821021395
105,"New Ecotech Recycling Survey no. 136, Hissa no. 364, At Post -Khaniwade, Taluka - Vasai, District. Palghar- 401305.",Dismantler,300,MPCB/RO(HQ)/HSMD/autho/,2022-03-03,2027-01-31,VALID,rict,,9096088943
106,"R.K.E-Recycling International LLPGala no.-2, Tirupati Industrial Park, Sativali Road, Vasai East- 401208",Dismantler,130,MPCB/RO(HQ)/HSMD/autho/,2022-03-03,2026-06-30,LAPSED_IN_LIST,,,9004211892
107,"CBS E-Waste Recycling Industries G.No. 18/63/2, At. Khanapur, Tal. Akole, Dist. Ahmednagar",Dismantler,2500,MPCB/RO(HQ)/HSMD/autho/,2022-03-31,2027-02-28,VALID,Ahmednagar,,8275451169
108,"J.S.Enterprises Gat No-132, Khalumbre, Chakan - 410501",Dismantler,650,MPCB/RO(HQ)/HSMD/autho/,2022-03-30,2027-01-31,VALID,,jsenterprises21@gmail.com,9921280827
109,Scape E,Recycler,235,MPCB/RO(HQ)/HSMD/autho/,2022-04-08,2027-03-31,VALID,Parbhani,,9970062892
110,"NICHOLAS RECYCLING PRIVATE LIMITED Nicholas Compound, Sativali Road, Valiv.",Dismantler,500,MPCB/RO(HQ)/HSMD/autho/,2022-04-12,2026-06-30,LAPSED_IN_LIST,,info@ewasterecycling.co.in,9821010148
111,"K. G. N. Traders Survey No. 11, Hissa No. 30, Gausiya Market, Village- Pimpri, Post-Dahisar, Dist. Thane - 400612",Dismantler,900,MPCB/RO(HQ)/HSMD/autho/,2022-04-12,2027-03-31,VALID,Thane,haider.rbt@gmail.com,9820484202
112,"THE2BROS 70 AS KURLA ANDHERI ROAD, OPP JARIMARI TEMPLE, Chandivali, Mumbai Suburban - 400072",Dismantler,275,MPCB/RO(HQ)/HSMD/autho/,2022-04-22,2027-03-31,VALID,,Trade.The2bros@gmail.com,8657771236
113,"Right E-waste Recycle, S. No. 40/2/C, 40/3, Nashik Highway, Kalyan Sape Road, Tal. Bhiwandi. Dist. Thane",Dismantler,400,MPCB/RO(HQ)/HSMD/Autho,2022-06-09,2027-05-31,VALID,Thane,,7738389606
114,"EMS Scrapo, S. No. 199, Hissa No. 3, Bharat Market, Khan Compound, Shil-Mahape Road, Shil, Tal. & Dist. Thane",Dismantler,90,MPCB/RO(HQ)/HSMD/autho/,2022-06-10,2027-05-31,VALID,Thane,Emsscrapo@gmail.com,8793606855
115,"Mayra Corporation, Plot No. C-157, MIDC Malegaon, Tal. Sinnar, Dist. Nashik",Dismantler,30,MPCB/RO(HQ)/HSMD/Autho,2022-06-15,2027-05-31,VALID,Nashik,navnathsarwar@gmail.com,9922142660
116,"Perfect E-Waste Recyclers, Plot No. A-8/1, MIDC Chikhalthana, Tal. & Dist. Aurangabad",Recycler,184,MPCB/RO(HQ)/HSMD/Autho,2022-06-14,2027-05-31,VALID,Aurangabad,perfectrecycler@gmail.com,9881381700
117,"Sahara Traders, Gala No. 1, Ground Floor, Kalyan Road,Temghar, Tal. Bhiwandi, Dist. Thane",Dismantler,700,MPCB/RO(HQ)/HSMD/Autho,2022-07-04,2027-05-31,VALID,Thane,aashiyana10000@gmail.com,9284080819
118,"Trekomac Refurbs Pvt. Ltd. Plot No, G-3, Five Star MIDC Kagal Hatkanangale, Tal. Kagal, Dist. Kolhapur",Dismantler,400,MPCB/RO(HQ)/HSMD/Autho,2022-07-04,2027-05-31,VALID,Kolhapur,refurbs.trekomac@gmail.co,8652658017
119,"Unity Enterprises, Gut No. 1745. Ranjangaon Ganpati, Tal. Shirur, Dist. Pune",Dismantler,1200,MPCB/RO(HQ)/HSMD/Autho,2022-09-08,2027-08-31,VALID,Pune,unityenterprises.ue@gmail.c,9762306473
120,"Shabbir Traders Plot No. P/15 & 16, Sr. No. 119/120/121, Balaji Industrial Park, Behind Hindalco, Vill. Tondre, Tal. Panvel, Dist. Raigad",Dismantler,300,MPCB/RO(HQ)/HSMD/autho/,2022-09-08,2027-07-31,VALID,Raigad,khanbashir5@gmail.com,9987737861
121,"Recycling Future, S. No. 169, Bhangarpada, Post Kundevahil, Tal. Panvel. Dist. Raigad",Dismantler,500,MPCB/RO(HQ)/HSMD/Autho,2022-09-08,2027-04-30,VALID,Raigad,katekar.aniket@gmail.com,9892027022
122,"Star Envo Recycling (I) Private Limited, Gala No 3, Survey No. 11, Hissa No. 1/1, Choudhary Compound, Wakanpada, Pelhar, Waliv, Vasai (E), Tal. Vasai, Dist. Palghar",Dismantler,250,MPCB/RO(HQ)/HSMD/Autho,2022-09-19,2027-08-31,VALID,Palghar,envorecycling@gmail.com,8097910947
123,"Shifa Traders, Gut No. 63, Dehu Moshi Road, Kudalwadi, Chikhali, Tal. Mulshi, Dist. Pune",Dismantler,300,MPCB/RO(HQ)/HSMD/Autho,2022-09-19,2027-08-31,VALID,Pune,shifatreaders92@gmail.com,9823724192
124,"S. N. Brothers, S. No. 305, Dongaripada, Near Classic Company, Vasai-Virar (M. Corp.), Dist Palghar",Dismantler,180,MPCB/RO(HQ)/HSMD/Autho,2022-09-19,2027-08-31,VALID,Palghar,snbrothers74@gmail.com,9820980389
125,"YASIN SCRAP Gat No. 546, Shed No. 1, Jadhav Vasti, Village Wagholi, Tal: Haveli, Pune",Dismantler,200,MPCB/RO(HQ)/HSMD/Autho,2022-09-21,2027-08-31,VALID,,,8805996742
126,"Reteck Envirotech Pvt. Ltd. Plot No. 4 A, MIDC Taloja, Tal. Panvel, Dist. Raigad",Dismantler,2500,MPCB/RO(HQ)/HSMD/Autho,2022-09-21,2027-06-30,VALID,Raigad,amol.varhadi@reteck.in,9892334045
127,"Vatsala Enterprises, Gut. No. 183-6, Village Rajapur, Tal. Sangamner, Dist. Ahmednagar",Dismantler,280,MPCB/RO(HQ)/HSMD/Autho,2022-09-21,2027-08-31,VALID,Ahmednagar,sagarkakad2021@gmail.com,9822346339
128,"S K Enterprises, S. No. 77, Hissa No. 1, Hindustan Market, Dieghar, Tal. Shil, Dist. Thane",Dismantler,300,MPCB/RO(HQ)/HSMD/Autho,2022-09-21,2027-08-31,VALID,Thane,skenterprises5798@gmail.co,8433865798
129,"OM R V Interiors, S. N. 92, Hissa No. 3, At Pelhar, Tal. Vasai, Dist Palghar",Dismantler,250,MPCB/RO(HQ)/HSMD/Autho,2022-09-21,2027-08-31,VALID,Palghar,info@omrvinteriors.com,9869587333
130,"Mauli Metals, Gut No. 222, At Kadachi Wadi, Post Chakan, Tal. Khed, Dist. Pune",Dismantler,360,MPCB/RO(HQ)/HSMD/Autho,2022-09-21,2027-08-31,VALID,Pune,,9860296504
131,"Grade Infratech Pvt. Ltd., Gut No. 849, Near Mahindra CIE, Ambethan Chakan, Village Chakan, Tal. Khed, Dist. Pune",Dismantler,300,MPCB/RO(HQ)/HSMD/Autho,2022-10-07,2027-08-31,VALID,Pune,avanishsingh777@yahoo.co,9326135646
132,"General Technologies India Pvt Ltd, Plot No. MBP-2, Building No.A-1, Office No. 1213, 12th Floor, Rupa Solitaire Building, TTC Industrial Area, Mahape, Dist. Thane",Dismantler,100,MPCB/RO(HQ)/HSMD/autho/,2022-10-12,2027-09-30,VALID,Thane,,9833382276
133,"National Trading Corporation, S. No. 56/1, Plot No. 18 & 19, Old Mumbai-Panvel Road, Village Pimpri, Tal. & Dist. Thane",Dismantler,140,MPCB/RO(HQ)/HSMD/Autho,2022-10-11,2027-09-30,VALID,Thane,ntcorp@live.com,9892416216
134,"Spas Computers Pvt. Ltd. 7 & 12, Hema Industrial Estate, Premises, Cos Ltd. Sarvodaya Nagar, Rajmata Jijai Road, Jogeshwari E",Dismantler,500,MPCB/RO(HQ)/HSMD/autho/,2022-10-11,2027-07-31,VALID,,spascomputers@gmail.com,8898899899
135,"Noble Trading Company, S. No. 11, Hissa No. 23, Gausiya Market, Village Pimpari, Old M. P. Road, Tal. & Dist. Thane",Dismantler,265,MPCB/RO(HQ)/HSMD/Autho,2022-11-14,2027-10-31,VALID,Thane,habimht@gmail.com,9869146970
136,"Sayma E-Waste Solutions, S. No. 323, Hissa no. 3, A Plot No. B-27, Urali Devashi, Tal. Haveli, Pune",Dismantler,335,MPCB/RO(HQ)/HSMD/Autho,2022-11-16,2027-09-30,VALID,,,9922763959
137,"Pakeeza Traders, Plot No. 406, 407, 408, At. Soyapur, Tal. & Dist. Aurangabad",Dismantler,720,MPCB/RO(HQ)/HSMD/Autho,2022-11-18,2027-07-31,VALID,Aurangabad,,9870006296
138,"D Trading Company Gat No- 880, Opp Noble Weigh Bridge, Kudalwadi, Chikhali,Tal-",Dismantler,451,MPCB/RO(HQ)/HSMD/Autho,2023-01-04,2023-12-31,LAPSED_IN_LIST,Pune,dtradingcompany155@gmail.com,9970865338
139,"Rajhans Ferrous Scrap Trade Private Limited (Unit II), Gut No. 878, Kudalwadi, Pimpri Chinchwad, Haveli, district - Pune.",Dismantler,500,MPCB/RO(HQ)/HSMD/Autho,2023-01-04,2027-12-31,VALID,,,9618785285
140,"CLEAN PLANET LLP GAT NO. 2241, 42, 43, Ramling ware house, Shel- Pimpalgaon (Mohitewadi), Chakan Shikrapur Road, Pune",Dismantler,2700,MPCB/RO(HQ)/HSMD/Autho,2023-01-04,2027-12-31,VALID,,sawantrohan18@gmail.com,9969664655
141,"JUPITER ENTERPRISES Gala No 08 and 09 Gilbert Compound, Kherani Road Durga Mandir Lane, Kairani Road, Sakinaka Mumbai",Dismantler,150,MPCB/RO(HQ)/HSMD/Autho,2023-01-04,2027-12-31,VALID,,,9028556744
142,"BIYANI POLYMERS M 75 MIDC AREA JALGAON, DISTRICT - JALGAON.",Dismantler,350,MPCB/RO(HQ)/HSMD/Autho,2023-01-04,2027-12-31,VALID,,,9823020288
143,"ALFA TRADING COMPANY S. No. 69, Hissa No. 8, House No. 531, Village Pimpri, Dahisar, Tal & Dist. Thane",Dismantler,600,MPCB/RO(HQ)/HSMD/Autho,2023-01-04,2027-12-31,VALID,Thane,alfatradingcomp@gmail.com,
144,"Lico Materials Pvt Ltd Plot No. D-17 Taloja, MIDC Industrial Area, Village Pendhar, Taluka Panvel District Raigad 410208",Dismantler,1000,MPCB/RO(HQ)/HSMD/Autho,2023-01-04,2027-12-31,VALID,rict,,9869528190
145,"Recycle Mitra Eco Care LLP Plot No. A-368,Floor No.1, Building Name M H Industries, Block Sector, Wagle Industrial Estate, Thane",Dismantler,100,MPCB/RO(HQ)/HSMD/Autho,2023-01-04,2027-12-31,VALID,,info@recyclemitra.com,7506942278
146,"NIZAM ENTERPRISES B-24, Nand Jyot Industrial Premises Co Op Society Ltd, A K Road, Safed Pool, Andheri (E),400072",Dismantler,90,MPCB/RO(HQ)/HSMD/Autho,2023-01-04,2027-12-31,VALID,,safatchoudhary@yahoo.co.in,9823669059
147,"HAQ Processing Pvt. Ltd. Survey No. 200, Gala No. C-6, Datar Industrial Estate, Pelhar Vasai, Tal Vasai, Dist Palghar.",Dismantler,224,MPCB/RO(HQ)/HSMD/Autho,2023-01-05,2027-12-31,VALID,Palghar,,9220203132
148,"Muskmelon Envtech Pvt. Ltd. Godown D-4, D-5, Dev Warehousing, Sai Sstyam Nagar, Nagar Road, Wagholi, Pune",Dismantler,400,MPCB/RO(HQ)/HSMD/Autho,2023-01-04,2027-12-31,VALID,,muskmelon050@gmail.com,7040691499
149,"Green Clean Recycling S No 72, Hissa No 4, Hayat Market, Walivali, Thane",Dismantler,350,MPCB/RO(HQ)/HSMD/Autho,2023-01-04,2027-12-31,VALID,,greencleanrecycler@gmail.c,8837610084
150,S. K. Enterprises Plot No. 134 & 183 Ahmednagar Ind. Co-Op Society Ltd,Dismantler,5000,MPCB/RO(HQ)/HSMD/Autho,2023-03-29,2028-03-31,VALID,,,9822475277
151,"Valji Khimji & Co., A/p- Shirwal, Gut No. 821A, Tal- Khandala, District - Satara.",Dismantler,3600,MPCB/RO(HQ)/HSMD/Autho,2023-03-29,2028-03-31,VALID,rict,,9763243771
152,"Anitha Sri Recycling H No- 410 /3, Khan Campound,GaibiNagar,Bhiwa ndi,Dist Thane.",Dismantler,200,MPCB/RO(HQ)/HSMD/Autho,2022-03-29,2028-03-31,VALID,Thane,anithasrirecycling@gmail.com,9949611212
153,"JRS Recycling Solutions Pvt. Ltd.Gala No. 428, S. No. 74, Hissa No. 2A, Garib Nawaz Estate, Old Mumbai Pune Road, Dahisar, Dist. Thane",Dismantler,300,MPCB/RO(HQ)/HSMD/Autho,2022-06-07,2027-05-31,VALID,Thane,,9004126767
154,"Naved Enterprises, Gut No. 61, P. No..1,2, & 3, Village Sahajapur, Karodi Highway, Aurangabad",Dismantler,150,MPCB/RO(HQ)/HSMD/Autho,2023-03-29,2028-03-31,VALID,,,9075032007
155,"E Cycle & Company, Plot No. 7, Gnyanchand Nagar, Paithan Road, Near Aman Hardware, Chitegaon",Dismantler,140,MPCB/RO(HQ)/HSMD/Autho,2023-03-29,2028-03-31,VALID,,,9763395894
156,"Enterprises Gat No. 63, Dehu Alandi Road, Near Regal Petroleum, Jadhavwadi Chikhali Pune 411062",Dismantler,1000,MPCB/RO(HQ)/HSMD/Autho,2023-03-29,2028-03-31,VALID,,,9850417772
157,"Aman Steel Enterprises Gat No 879,Godown No 2, Near Rajhans Kata, Kudalwadi, Chikhali, Pune 411062",Dismantler,200,MPCB/RO(HQ)/HSMD/Autho,2023-03-29,2028-03-31,VALID,,,9822816329
158,"AVIS Group S. No. 4/5, Vedant Nagari, Karve Nagar, Pune, Tal. Haveli, Dist. Pune 411004",Dismantler,200,MPCB/RO(HQ)/HSMD/Autho,2023-03-29,2028-03-31,VALID,Pune,mohdazim.sheikh03@gmail.com,
159,"Mukesh Metal Sr. No.93, Hissa No.1, Behind Deepesh Lodge, Goteghar, Uttarshiv, Mumbra - Panvel Road, Dist Thane.",Dismantler,400,MPCB/RO(HQ)/HSMD/Autho,2023-03-29,2028-03-31,VALID,Thane,info@mukeshmetal.net,9819893595
160,"Vozon Comsof Pvt Ltd Sr No 19/9 Indira College Road,Buchade Vasti Road,Tal. Mulshi DistPune,Marunji,Pune",Dismantler,500,MPCB/RO(HQ)/HSMD/Autho,2023-03-29,2028-03-31,VALID,Pune,,8600726007
161,"Wave E Waste Recycling Pvt Ltd. Sr. No. 11, Hissa No. 1/1, Chaudhary Compound, Wakam Pada, Dist. Palghar 401208",Dismantler,200,MPCB/RO(HQ)/HSMD/Autho,2023-03-29,2028-03-31,VALID,Palghar,waveewasterecycling@gmail.com,9076607151
